epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,103.551,0.35044,0.25367,0.86296,0.99828,1,0.995,0.95466,0.3241,0.20381,0.83427,0.000986903,0.000986903,0.000986903
82,104.806,0.35419,0.25626,0.86017,0.99717,1,0.995,0.95484,0.31202,0.21518,0.83018,0.000981377,0.000981377,0.000981377
83,106.039,0.35993,0.2559,0.86123,0.99808,1,0.995,0.95006,0.33156,0.20859,0.83299,0.000975851,0.000975851,0.000975851
84,107.309,0.36168,0.2566,0.85757,0.99797,1,0.995,0.95423,0.32929,0.1975,0.83641,0.000970324,0.000970324,0.000970324
85,108.56,0.35233,0.25297,0.8631,0.99784,1,0.995,0.956,0.33322,0.20557,0.83458,0.000964798,0.000964798,0.000964798
86,109.811,0.35335,0.25272,0.86741,0.99797,1,0.995,0.94869,0.35179,0.21574,0.8463,0.000959272,0.000959272,0.000959272
87,111.049,0.35009,0.2504,0.85361,0.99816,1,0.995,0.94432,0.34607,0.20404,0.8324,0.000953746,0.000953746,0.000953746
88,112.416,0.348,0.24771,0.85503,0.99845,1,0.995,0.93869,0.35524,0.21244,0.8411,0.00094822,0.00094822,0.00094822
89,113.663,0.35185,0.25155,0.86519,0.99822,1,0.995,0.96154,0.31298,0.20039,0.82654,0.000942693,0.000942693,0.000942693
90,114.933,0.34129,0.24712,0.85169,0.99808,1,0.995,0.95418,0.33513,0.20583,0.82747,0.000937167,0.000937167,0.000937167
91,116.178,0.33971,0.24859,0.85016,0.99844,1,0.995,0.95376,0.32445,0.19349,0.8256,0.000931641,0.000931641,0.000931641
92,117.438,0.35341,0.24772,0.85504,0.99795,1,0.995,0.94727,0.34248,0.20055,0.83252,0.000926115,0.000926115,0.000926115
93,118.693,0.34541,0.24926,0.85926,0.9985,1,0.995,0.9547,0.3311,0.20111,0.826,0.000920589,0.000920589,0.000920589
94,119.954,0.34362,0.24111,0.86102,0.99807,1,0.995,0.95479,0.30324,0.19924,0.82251,0.000915062,0.000915062,0.000915062
95,121.188,0.33957,0.24378,0.85453,0.99828,1,0.995,0.9598,0.3033,0.1889,0.82461,0.000909536,0.000909536,0.000909536
96,122.447,0.34747,0.23921,0.86025,0.99781,1,0.995,0.95387,0.33482,0.19201,0.8328,0.00090401,0.00090401,0.00090401
97,123.704,0.34336,0.24264,0.86429,0.99797,1,0.995,0.96091,0.31084,0.18704,0.82639,0.000898484,0.000898484,0.000898484
98,124.959,0.35283,0.24857,0.8626,0.99828,1,0.995,0.95461,0.32599,0.198,0.82887,0.000892958,0.000892958,0.000892958
99,126.308,0.35672,0.24691,0.85795,0.99826,1,0.995,0.95767,0.29593,0.18686,0.82177,0.000887431,0.000887431,0.000887431
100,127.585,0.33925,0.23569,0.85882,0.99817,1,0.995,0.95072,0.3334,0.19096,0.83142,0.000881905,0.000881905,0.000881905
101,128.827,0.35514,0.24273,0.86372,0.99816,1,0.995,0.95629,0.30582,0.19007,0.82365,0.000876379,0.000876379,0.000876379
102,130.117,0.3501,0.23716,0.86037,0.99835,1,0.995,0.95609,0.30732,0.18472,0.82083,0.000870853,0.000870853,0.000870853
103,131.466,0.3543,0.23911,0.86184,0.99808,1,0.995,0.94984,0.30169,0.1824,0.82794,0.000865326,0.000865326,0.000865326
104,132.727,0.34384,0.23305,0.85957,0.99819,1,0.995,0.95588,0.31706,0.19955,0.82673,0.0008598,0.0008598,0.0008598
105,133.981,0.33459,0.23461,0.85652,0.99783,1,0.995,0.95827,0.29404,0.17935,0.81752,0.000854274,0.000854274,0.000854274
106,135.27,0.3307,0.23392,0.85226,0.99825,1,0.995,0.95889,0.30533,0.17932,0.82536,0.000848748,0.000848748,0.000848748
107,136.521,0.32325,0.23017,0.85135,0.99852,1,0.995,0.95445,0.31712,0.19037,0.83485,0.000843222,0.000843222,0.000843222
108,137.887,0.32704,0.22947,0.85883,0.99853,1,0.995,0.95313,0.29821,0.17914,0.82813,0.000837695,0.000837695,0.000837695
109,139.14,0.33229,0.22991,0.85193,0.9982,1,0.995,0.95667,0.31207,0.18892,0.82087,0.000832169,0.000832169,0.000832169
110,140.401,0.32857,0.23401,0.85309,0.99857,1,0.995,0.95903,0.29405,0.17978,0.82509,0.000826643,0.000826643,0.000826643
111,141.663,0.34482,0.23282,0.8636,0.99783,1,0.995,0.95085,0.31011,0.17857,0.82713,0.000821117,0.000821117,0.000821117
112,142.918,0.34087,0.22953,0.85889,0.99846,1,0.995,0.96125,0.29462,0.17244,0.82111,0.000815591,0.000815591,0.000815591
113,144.191,0.33812,0.22893,0.85871,0.99811,1,0.995,0.95777,0.30226,0.19346,0.82496,0.000810064,0.000810064,0.000810064
114,145.496,0.3299,0.22854,0.84877,0.99849,1,0.995,0.96259,0.29643,0.18504,0.82532,0.000804538,0.000804538,0.000804538
115,146.747,0.32492,0.23088,0.85011,0.99815,1,0.995,0.96063,0.28997,0.18507,0.81998,0.000799012,0.000799012,0.000799012
